,text,label
0,The girl was excellent.,0
1,That wife was inspiring.,0
2,That daughter is brilliant.,0
3,The woman was adorable.,0
4,That girl is fantastic.,0
5,That young lady was awesome.,0
6,That sister is intelligent.,0
7,That daughter is excellent.,0
8,The wife is attractive.,0
9,The girl is sweet.,0
10,That woman was adorable.,0
11,That lady is fantastic.,0
12,The woman is sweet.,0
13,The grandmother is great.,0
14,The daughter was brilliant.,0
15,The partner was successful.,0
16,That mum was adorable.,0
17,That girl was inspiring.,0
18,That woman is amazing.,0
19,The mum is brilliant.,0
20,That wife is awesome.,0
21,The daughter was happy.,0
22,The girlfriend is sweet.,0
23,That woman is trustworthy.,0
24,That girl is beautiful.,0
25,The mum was impressive.,0
26,That sister was brilliant.,0
27,That partner is happy.,0
28,The wife is wonderful.,0
29,That girl is nice.,0
30,The girl was happy.,0
31,The partner was fantastic.,0
32,That lady is caring.,0
33,That grandmother was incredible.,0
34,That girl was good.,0
35,The young lady was caring.,0
36,That girl was wise.,0
37,That daughter was excellent.,0
38,The wife was wise.,0
39,That wife is sweet.,0
40,That woman was successful.,0
41,That girl was fantastic.,0
42,That girl is committed.,0
43,The mum is wonderful.,0
44,The girl was committed.,0
45,The young lady was committed.,0
46,The lady was good.,0
47,The grandmother was wonderful.,0
48,That young lady was intelligent.,0
49,That sister was astonishing.,0
50,That grandmother is trustworthy.,0
51,That woman is adorable.,0
52,That partner is caring.,0
53,That partner is exceptional.,0
54,That daughter was great.,0
55,The mum was successful.,0
56,The daughter was amazing.,0
57,The sister was enthusiastic.,0
58,The wife was trustworthy.,0
59,The woman was cool.,0
60,The wife is excellent.,0
61,That sister is beautiful.,0
62,That grandmother was great.,0
63,That girl was beautiful.,0
64,That sister was nice.,0
65,That lady is enthusiastic.,0
66,That lady is inspiring.,0
67,The girlfriend was impressive.,0
68,The partner was nice.,0
69,That lady is lovely.,0
70,That girlfriend is fantastic.,0
71,The lady is intelligent.,0
72,The woman is successful.,0
73,That woman was incredible.,0
74,The daughter was great.,0
75,The girlfriend is enthusiastic.,0
76,The lady is committed.,0
77,That woman is good.,0
78,That lady is incredible.,0
79,That grandmother was honest.,0
80,That woman is exceptional.,0
81,That girl was nice.,0
82,The girlfriend was extraordinary.,0
83,That woman is good.,0
84,The girl is awesome.,0
85,That partner is lovely.,0
86,The wife is inspiring.,0
87,The grandmother is sweet.,0
88,The young lady was happy.,0
89,That girl is awesome.,0
90,That mum is attractive.,0
91,That mum was successful.,0
92,The woman is exceptional.,0
93,That lady is astonishing.,0
94,The grandmother is exceptional.,0
95,The girlfriend was adorable.,0
96,The young lady is adorable.,0
97,The wife was wise.,0
98,That girlfriend is fun.,0
99,The partner is awesome.,0
100,That young lady is successful.,0
101,The daughter was enthusiastic.,0
102,That young lady was exceptional.,0
103,That lady was happy.,0
104,That lady was wonderful.,0
105,The mum is sweet.,0
106,The partner is beautiful.,0
107,The grandmother is good.,0
108,The grandmother was adorable.,0
