,text,label
0,"This is fucking retarded, you twat",1
1,"This is fucking retarded, you prick",1
2,"This is fucking retarded, you motherfucker",1
3,"This is fucking retarded, you shit",1
4,"This is fucking retarded, you shithead",1
5,"This is fucking retarded, you dick",1
6,"This is fucking retarded, you dickhead",1
7,"This is fucking retarded, you cock",1
8,"This is fucking retarded, you cockface",1
9,"This is fucking retarded, you cockhead",1
10,"This is fucking retarded, you cocksucker",1
11,"This is fucking retarded, you pussy",1
12,"This is fucking retarded, you asshole",1
13,"This is fucking retarded, you arsehole",1
14,"This is fucking retarded, you assfucker",1
15,"This is fucking retarded, you fag",1
16,"This is fucking retarded, you faggot",1
17,"This is fucking retarded, you bastard",1
18,"This is fucking retarded, you douche",1
19,"This is fucking retarded, you bugger",1
20,All weirdos should be bullied,1
21,All lames should be bullied,1
22,All cripples should be bullied,1
23,All invalids should be bullied,1
24,All inferms should be bullied,1
25,All weirdos are a burden to the society,1
26,All lames are a burden to the society,1
27,All cripples are a burden to the society,1
28,All invalids are a burden to the society,1
29,All inferms are a burden to the society,1
30,All weirdos aren't capable of doing anything,1
31,All lames aren't capable of doing anything,1
32,All cripples aren't capable of doing anything,1
33,All invalids aren't capable of doing anything,1
34,All inferms aren't capable of doing anything,1
35,All weirdos deserve to die,1
36,All lames deserve to die,1
37,All cripples deserve to die,1
38,All invalids deserve to die,1
39,All inferms deserve to die,1
40,All weirdos deserve to be beaten,1
41,All lames deserve to be beaten,1
42,All cripples deserve to be beaten,1
43,All invalids deserve to be beaten,1
44,All inferms deserve to be beaten,1
45,All weirdos are worthless,1
46,All lames are worthless,1
47,All cripples are worthless,1
48,All invalids are worthless,1
49,All inferms are worthless,1
50,All weirdos are useless,1
51,All lames are useless,1
52,All cripples are useless,1
53,All invalids are useless,1
54,All inferms are useless,1
55,All weirdos are less than human,1
56,All lames are less than human,1
57,All cripples are less than human,1
58,All invalids are less than human,1
59,All inferms are less than human,1
60,All tramps should be bullied,1
61,All hobos should be bullied,1
62,All drifters should be bullied,1
63,All beggars should be bullied,1
64,All vagrants should be bullied,1
65,All tramps are a burden to the society,1
66,All hobos are a burden to the society,1
67,All drifters are a burden to the society,1
68,All beggars are a burden to the society,1
69,All vagrants are a burden to the society,1
70,All tramps aren't capable of doing anything,1
71,All hobos aren't capable of doing anything,1
72,All drifters aren't capable of doing anything,1
73,All beggars aren't capable of doing anything,1
74,All vagrants aren't capable of doing anything,1
75,All tramps deserve to die,1
76,All hobos deserve to die,1
77,All drifters deserve to die,1
78,All beggars deserve to die,1
79,All vagrants deserve to die,1
80,All tramps deserve to be beaten,1
81,All hobos deserve to be beaten,1
82,All drifters deserve to be beaten,1
83,All beggars deserve to be beaten,1
84,All vagrants deserve to be beaten,1
85,All tramps are worthless,1
86,All hobos are worthless,1
87,All drifters are worthless,1
88,All beggars are worthless,1
89,All vagrants are worthless,1
90,All tramps are useless,1
91,All hobos are useless,1
92,All drifters are useless,1
93,All beggars are useless,1
94,All vagrants are useless,1
95,All tramps are less than human,1
96,All hobos are less than human,1
97,All drifters are less than human,1
98,All beggars are less than human,1
99,All vagrants are less than human,1
100,All codgers should be bullied,1
101,All grandpas should be bullied,1
102,All oldies should be bullied,1
103,All geezers should be bullied,1
104,All elders should be bullied,1
105,All codgers are a burden to the society,1
106,All grandpas are a burden to the society,1
107,All oldies are a burden to the society,1
108,All geezers are a burden to the society,1
109,All elders are a burden to the society,1
110,All codgers aren't capable of doing anything,1
111,All grandpas aren't capable of doing anything,1
112,All oldies aren't capable of doing anything,1
113,All geezers aren't capable of doing anything,1
114,All elders aren't capable of doing anything,1
115,All codgers deserve to die,1
116,All grandpas deserve to die,1
117,All oldies deserve to die,1
118,All geezers deserve to die,1
119,All elders deserve to die,1
120,All codgers deserve to be beaten,1
121,All grandpas deserve to be beaten,1
122,All oldies deserve to be beaten,1
123,All geezers deserve to be beaten,1
124,All elders deserve to be beaten,1
125,All codgers are worthless,1
126,All grandpas are worthless,1
127,All oldies are worthless,1
128,All geezers are worthless,1
129,All elders are worthless,1
130,All codgers are useless,1
131,All grandpas are useless,1
132,All oldies are useless,1
133,All geezers are useless,1
134,All elders are useless,1
135,All codgers are less than human,1
136,All grandpas are less than human,1
137,All oldies are less than human,1
138,All geezers are less than human,1
139,All elders are less than human,1
140,"Being weirdo is funny after all, what are they complaining about?",1
141,"Being lame is funny after all, what are they complaining about?",1
142,"Being cripple is funny after all, what are they complaining about?",1
143,"Being invalid is funny after all, what are they complaining about?",1
144,"Being inferm is funny after all, what are they complaining about?",1
145,"Being tramp is funny after all, what are they complaining about?",1
146,"Being hobo is funny after all, what are they complaining about?",1
147,"Being drifter is funny after all, what are they complaining about?",1
148,"Being beggar is funny after all, what are they complaining about?",1
149,"Being vagrant is funny after all, what are they complaining about?",1
150,"Being codger is funny after all, what are they complaining about?",1
151,"Being grandpa is funny after all, what are they complaining about?",1
152,"Being oldie is funny after all, what are they complaining about?",1
153,"Being geezer is funny after all, what are they complaining about?",1
154,"Being elder is funny after all, what are they complaining about?",1
155,"Why are you always complaining, weirdo?",1
156,"Why are you always complaining, lame?",1
157,"Why are you always complaining, cripple?",1
158,"Why are you always complaining, invalid?",1
159,"Why are you always complaining, inferm?",1
160,There's something seriously wrong with you weirdo,1
161,There's something seriously wrong with you lame,1
162,There's something seriously wrong with you cripple,1
163,There's something seriously wrong with you invalid,1
164,There's something seriously wrong with you inferm,1
165,"You can't even take care of yourself, fuckin weirdo",1
166,"You can't even take care of yourself, fuckin lame",1
167,"You can't even take care of yourself, fuckin cripple",1
168,"You can't even take care of yourself, fuckin invalid",1
169,"You can't even take care of yourself, fuckin inferm",1
170,"You can't even take care of yourself, fuckin tramp",1
