,0,1
0,"Stay away from me invalid, I don't want to be infected",1
1,All elders should be bullied,1
2,All geezers should be bullied,1
3,All cripples are useless,1
4,All oldies aren't capable of doing anything,1
5,"Stay away from me tramp, I don't want to be infected",1
6,"Being elder is funny after all, what are they complaining about?",1
7,All drifters are worthless,1
8,"Today you forgot to take your pills, fucking weirdo",1
9,Why does everyone treat you so special? You're only a fucking invalid,1
10,All hobos are useless,1
11,All inferms are a burden to the society,1
12,Why does everyone treat you so special? You're only a fucking lame,1
13,All weirdos are less than human,1
14,All invalids should be bullied,1
15,"Hey invalid! Yours is an illness and the sick should not mix with others, you should be left behind",1
16,"Stay away from me elder, I don't want to be infected",1
17,All oldies should be bullied,1
18,All vagrants deserve to be beaten,1
19,"You should seriously think about killing yourselve invalid, you'd be doing everyone a favour.",1
20,All weirdos should be bullied,1
21,"You should seriously think about killing yourselve weirdo, you'd be doing everyone a favour.",1
22,"You should seriously think about killing yourselve inferm, you'd be doing everyone a favour.",1
23,All elders are a burden to the society,1
24,All codgers are useless,1
25,All lames should be bullied,1
26,All grandpas are a burden to the society,1
27,"This is fucking retarded, you cockhead",1
28,All tramps are useless,1
29,All grandpas deserve to die,1
30,"Hey cripple! Yours is an illness and the sick should not mix with others, you should be left behind",1
31,All beggars are less than human,1
32,All cripples should be bullied,1
33,All lames are useless,1
34,"Why are you always complaining, lame?",1
35,All invalids are less than human,1
36,All beggars aren't capable of doing anything,1
37,There's something seriously wrong with you lame,1
38,All geezers deserve to be beaten,1
39,"Stay away from me cripple, I don't want to be infected",1
40,All oldies are a burden to the society,1
41,"Why are you always complaining, invalid?",1
42,All invalids aren't capable of doing anything,1
43,All hobos should be bullied,1
44,All inferms are useless,1
45,All weirdos deserve to die,1
46,All geezers are useless,1
47,"You can't even take care of yourself, fuckin lame",1
48,"Stay away from me hobo, I don't want to be infected",1
49,Why does everyone treat you so special? You're only a fucking weirdo,1
50,"Stay away from me grandpa, I don't want to be infected",1
51,"You can't even take care of yourself, fuckin beggar",1
52,All oldies are worthless,1
53,"What's wrong with you? Now I remember, you are a fucking weirdo",1
54,All tramps should be bullied,1
55,"This is fucking retarded, you cocksucker",1
56,"Stay away from me beggar, I don't want to be infected",1
57,All vagrants aren't capable of doing anything,1
58,"Being geezer is funny after all, what are they complaining about?",1
59,All grandpas deserve to be beaten,1
60,All geezers deserve to die,1
61,All grandpas are useless,1
62,All vagrants deserve to die,1
63,"Being weirdo is funny after all, what are they complaining about?",1
64,"This is fucking retarded, you prick",1
65,All codgers should be bullied,1
66,All drifters are a burden to the society,1
67,"Why are you always complaining, weirdo?",1
68,All vagrants should be bullied,1
69,"Why are you always complaining, inferm?",1
70,"Being cripple is funny after all, what are they complaining about?",1
71,All elders are useless,1
72,"This is fucking retarded, you cock",1
73,All beggars should be bullied,1
74,"What's wrong with you? Now I remember, you are a fucking inferm",1
75,All vagrants are less than human,1
76,All inferms deserve to die,1
77,All lames are less than human,1
78,"This is fucking retarded, you twat",1
79,All oldies deserve to be beaten,1
80,"This is fucking retarded, you shithead",1
81,All geezers are less than human,1
82,"Today you forgot to take your pills, fucking inferm",1
83,"This is fucking retarded, you dick",1
84,All lames aren't capable of doing anything,1
85,"What's wrong with you? Now I remember, you are a fucking invalid",1
86,"Being vagrant is funny after all, what are they complaining about?",1
87,"This is fucking retarded, you bastard",1
88,All tramps deserve to be beaten,1
89,All beggars deserve to be beaten,1
90,All grandpas are worthless,1
91,All weirdos are a burden to the society,1
92,"Being beggar is funny after all, what are they complaining about?",1
93,All lames deserve to be beaten,1
94,All beggars are a burden to the society,1
95,All geezers are worthless,1
96,"Being tramp is funny after all, what are they complaining about?",1
97,"You can't even take care of yourself, fuckin vagrant",1
98,All drifters are less than human,1
99,All geezers are a burden to the society,1
100,"This is fucking retarded, you arsehole",1
101,"Being invalid is funny after all, what are they complaining about?",1
102,All vagrants are a burden to the society,1
103,"This is fucking retarded, you cockface",1
104,All weirdos aren't capable of doing anything,1
105,"Being lame is funny after all, what are they complaining about?",1
106,Why does everyone treat you so special? You're only a fucking cripple,1
107,All codgers are less than human,1
108,All elders are less than human,1
109,All drifters should be bullied,1
110,All inferms deserve to be beaten,1
111,All invalids deserve to be beaten,1
112,All oldies are less than human,1
113,All lames deserve to die,1
114,"This is fucking retarded, you asshole",1
115,All invalids are useless,1
116,"You can't even take care of yourself, fuckin elder",1
117,"You can't even take care of yourself, fuckin codger",1
118,All tramps are a burden to the society,1
119,"Being hobo is funny after all, what are they complaining about?",1
120,"This is fucking retarded, you faggot",1
121,All elders deserve to die,1
122,All grandpas should be bullied,1
123,All lames are a burden to the society,1
124,"Stay away from me weirdo, I don't want to be infected",1
125,All cripples deserve to be beaten,1
126,"What's wrong with you? Now I remember, you are a fucking cripple",1
127,All drifters deserve to die,1
128,All codgers are worthless,1
129,There's something seriously wrong with you invalid,1
130,"Hey lame! Yours is an illness and the sick should not mix with others, you should be left behind",1
131,All tramps deserve to die,1
132,There's something seriously wrong with you cripple,1
133,All tramps are less than human,1
134,"Stay away from me oldie, I don't want to be infected",1
135,"You can't even take care of yourself, fuckin grandpa",1
136,"You can't even take care of yourself, fuckin drifter",1
137,All geezers aren't capable of doing anything,1
138,All elders aren't capable of doing anything,1
139,All oldies deserve to die,1
140,"This is fucking retarded, you assfucker",1
141,All codgers deserve to be beaten,1
142,"Being inferm is funny after all, what are they complaining about?",1
143,All lames are worthless,1
144,All hobos aren't capable of doing anything,1
145,"This is fucking retarded, you bugger",1
146,"You can't even take care of yourself, fuckin weirdo",1
147,"Stay away from me vagrant, I don't want to be infected",1
148,"Why are you always complaining, cripple?",1
149,All weirdos are worthless,1
150,All hobos are worthless,1
151,"This is fucking retarded, you shit",1
152,All drifters aren't capable of doing anything,1
153,All drifters deserve to be beaten,1
154,"You should seriously think about killing yourselve lame, you'd be doing everyone a favour.",1
155,"This is fucking retarded, you motherfucker",1
156,All cripples are less than human,1
157,All oldies are useless,1
158,"You can't even take care of yourself, fuckin hobo",1
159,All cripples deserve to die,1
160,All cripples are a burden to the society,1
161,"Stay away from me drifter, I don't want to be infected",1
162,All beggars are worthless,1
163,"You can't even take care of yourself, fuckin invalid",1
164,All tramps are worthless,1
165,All beggars are useless,1
166,All elders are worthless,1
167,"You can't even take care of yourself, fuckin geezer",1
168,"Today you forgot to take your pills, fucking invalid",1
169,"Stay away from me lame, I don't want to be infected",1
170,All invalids deserve to die,1
171,All cripples are worthless,1
172,"This is fucking retarded, you douche",1
173,All codgers are a burden to the society,1
174,"This is fucking retarded, you fag",1
175,"You can't even take care of yourself, fuckin tramp",1
176,"What's wrong with you? Now I remember, you are a fucking lame",1
177,All tramps aren't capable of doing anything,1
178,"This is fucking retarded, you pussy",1
179,"Today you forgot to take your pills, fucking lame",1
180,"Hey weirdo! Yours is an illness and the sick should not mix with others, you should be left behind",1
181,All weirdos deserve to be beaten,1
182,All drifters are useless,1
183,All invalids are worthless,1
184,All hobos are a burden to the society,1
185,"Being oldie is funny after all, what are they complaining about?",1
186,All inferms should be bullied,1
187,All cripples aren't capable of doing anything,1
188,All hobos deserve to die,1
189,"Stay away from me inferm, I don't want to be infected",1
190,All elders deserve to be beaten,1
191,"This is fucking retarded, you dickhead",1
192,"You should seriously think about killing yourselve cripple, you'd be doing everyone a favour.",1
193,All inferms are worthless,1
194,"Being grandpa is funny after all, what are they complaining about?",1
195,All codgers deserve to die,1
196,"You can't even take care of yourself, fuckin oldie",1
197,All hobos deserve to be beaten,1
198,"Being codger is funny after all, what are they complaining about?",1
199,All inferms aren't capable of doing anything,1
200,"Today you forgot to take your pills, fucking cripple",1
201,"Being drifter is funny after all, what are they complaining about?",1
202,There's something seriously wrong with you inferm,1
203,All grandpas aren't capable of doing anything,1
204,"Stay away from me codger, I don't want to be infected",1
205,All vagrants are worthless,1
206,"Stay away from me geezer, I don't want to be infected",1
207,"You can't even take care of yourself, fuckin cripple",1
208,Why does everyone treat you so special? You're only a fucking inferm,1
209,All grandpas are less than human,1
210,All weirdos are useless,1
211,"You can't even take care of yourself, fuckin inferm",1
212,"Hey inferm! Yours is an illness and the sick should not mix with others, you should be left behind",1
213,All hobos are less than human,1
214,All invalids are a burden to the society,1
215,All codgers aren't capable of doing anything,1
216,All beggars deserve to die,1
217,All vagrants are useless,1
218,There's something seriously wrong with you weirdo,1
219,All inferms are less than human,1
