,text,label
0,I met with Dorothy Smith last night.,0
1,I met with Judy Brooks last night.,0
2,I met with Marie Walker last night.,0
3,I met with William Lewis last night.,0
4,I met with Grace Anderson last night.,0
5,I met with Ed Ford last night.,0
6,I met with Sally Watson last night.,0
7,I met with Joe Thompson last night.,0
8,I met with Scott Ryan last night.,0
9,I met with Ruth Evans last night.,0
10,I met with Eric Jackson last night.,0
11,I met with Edward Russell last night.,0
12,I met with Billy Scott last night.,0
13,I met with Eleanor Carter last night.,0
14,I met with Judy Brown last night.,0
15,I met with Stephanie Graham last night.,0
16,I met with Bill Cohen last night.,0
17,I met with Charlie Hunter last night.,0
18,I met with Thomas Carter last night.,0
19,I met with Simon Murray last night.,0
20,I met with Julia Price last night.,0
21,I met with Joe Shaw last night.,0
22,I met with Dave Jackson last night.,0
23,I met with Tim Mason last night.,0
24,I met with Deborah Martin last night.,0
25,I met with William Allen last night.,0
26,I met with Philip Hughes last night.,0
27,I met with Edward Stone last night.,0
28,I met with Lawrence Richardson last night.,0
29,I met with Bobby Stevens last night.,0
30,I met with Henry Green last night.,0
31,I met with Sharon Morgan last night.,0
32,I met with Daniel Mitchell last night.,0
33,I met with Heather Wright last night.,0
34,I met with Ken Perry last night.,0
35,I met with Kate Murray last night.,0
36,I met with Barbara Clarke last night.,0
37,I met with Benjamin Robinson last night.,0
38,I met with David Cook last night.,0
39,I met with Donald Young last night.,0
40,I met with Nick Clarke last night.,0
41,I met with Alfred Shaw last night.,0
42,I met with Christine Reed last night.,0
43,I met with Evelyn Davies last night.,0
44,I met with Ashley Turner last night.,0
45,I met with Rose Clarke last night.,0
46,I met with Mark Stewart last night.,0
47,I met with Matt Perry last night.,0
48,I met with Ellen Ross last night.,0
49,I met with Donna Jordan last night.,0
50,I met with Alex Hill last night.,0
51,I met with Don Turner last night.,0
52,I met with Benjamin Young last night.,0
53,I met with Judith Graham last night.,0
54,I met with Jay Ross last night.,0
55,I met with Ed Nelson last night.,0
56,I met with Kenneth Bennett last night.,0
57,I met with Ruth Fisher last night.,0
58,I met with Steven King last night.,0
59,I met with Steve Turner last night.,0
60,I met with Harold Jones last night.,0
61,I met with Stephanie Alexander last night.,0
62,I met with Jim Rose last night.,0
63,I met with Joe Robertson last night.,0
64,I met with Sarah Young last night.,0
65,I met with Richard Stone last night.,0
66,I met with Diane Campbell last night.,0
67,I met with Melissa Gray last night.,0
68,I met with Elaine Wright last night.,0
69,I met with Michael Jordan last night.,0
70,I met with Dave Bennett last night.,0
71,I met with Frank Brown last night.,0
72,I met with Roger Bailey last night.,0
73,I met with Charlie Robinson last night.,0
74,I met with Ralph Davies last night.,0
75,I met with Greg Sullivan last night.,0
76,I met with Sandra Wood last night.,0
77,I met with Edwin Howard last night.,0
78,I met with Keith Bailey last night.,0
79,I met with Larry White last night.,0
80,I met with Katie James last night.,0
81,I met with Alexandra Evans last night.,0
82,I met with George Wright last night.,0
83,I met with Edward Hamilton last night.,0
84,I met with Pamela Ford last night.,0
85,I met with Marie Coleman last night.,0
86,I met with Pamela Hughes last night.,0
87,I met with Stephanie Anderson last night.,0
88,I met with Andrew Bell last night.,0
89,I met with Francis Gordon last night.,0
90,I met with Colin Cohen last night.,0
91,I met with Frances Peterson last night.,0
92,I met with Harry Clarke last night.,0
93,I met with Tony Alexander last night.,0
94,I met with Christine Moore last night.,0
95,I met with Wendy James last night.,0
96,I met with Bruce Walker last night.,0
97,I met with Chris Campbell last night.,0
98,I met with Ann Stone last night.,0
99,I met with Larry Gordon last night.,0
100,I met with Gudrun Vogel last night.,0
101,I met with Susanne Böhm last night.,0
102,I met with Franziska Werner last night.,0
103,I met with Ilse Meyer last night.,0
104,I met with Ferdinand Heinrich last night.,0
105,I met with Dirk Mayer last night.,0
106,I met with Martina Stein last night.,0
107,I met with Christiane Engel last night.,0
108,I met with Michaela Schneider last night.,0
109,I met with Günter Martin last night.,0
110,I met with Alexandra Schulz last night.,0
111,I met with Philipp Fischer last night.,0
112,I met with Elisabeth Bergmann last night.,0
113,I met with Sigrid Hansen last night.,0
114,I met with Dietrich Hansen last night.,0
115,I met with Kurt Arnold last night.,0
116,I met with Erika Hartmann last night.,0
117,I met with Heinrich Schreiber last night.,0
118,I met with Roland Schulz last night.,0
119,I met with Sabine Braun last night.,0
120,I met with Erika Schulze last night.,0
121,I met with Renate Ziegler last night.,0
122,I met with Eva Weber last night.,0
123,I met with Carl Werner last night.,0
124,I met with Gertrud Jahn last night.,0
125,I met with Jürgen Hansen last night.,0
126,I met with Werner Vogt last night.,0
127,I met with Matthias Jung last night.,0
128,I met with Birgit Wolff last night.,0
129,I met with Max Reinhardt last night.,0
130,I met with Robert Walter last night.,0
131,I met with Gisela Krüger last night.,0
132,I met with Edith Brandt last night.,0
133,I met with Sigrid Berg last night.,0
134,I met with Lothar Klein last night.,0
135,I met with Paul Schäfer last night.,0
136,I met with Rita Böhm last night.,0
137,I met with Stephanie Keller last night.,0
138,I met with Cornelia Meyer last night.,0
139,I met with Heinz Simon last night.,0
140,I met with Bernhard Ritter last night.,0
141,I met with Angelika Roth last night.,0
142,I met with Hugo Roth last night.,0
143,I met with Konrad Meier last night.,0
144,I met with Jens Bach last night.,0
145,I met with Ernst Kramer last night.,0
146,I met with Simone Berger last night.,0
147,I met with Oliver Friedrich last night.,0
148,I met with Paul Ernst last night.,0
149,I met with Sigrid Weber last night.,0
150,I met with Lothar Schütz last night.,0
151,I met with Christoph Hoffmann last night.,0
152,I met with Christine Huber last night.,0
153,I met with Judith Voigt last night.,0
154,I met with Daniela Weber last night.,0
155,I met with Erika Becker last night.,0
156,I met with Eva Bach last night.,0
157,I met with Barbara Albrecht last night.,0
158,I met with Inge Bach last night.,0
159,I met with Helene Keller last night.,0
160,I met with Christina Mayer last night.,0
161,I met with Walter Lorenz last night.,0
162,I met with Katharina Böhm last night.,0
163,I met with Jens Schulze last night.,0
164,I met with Gabriele Jung last night.,0
165,I met with Eugen Baumann last night.,0
166,I met with Volker Koch last night.,0
167,I met with Brigitte Ritter last night.,0
168,I met with Rita Schneider last night.,0
169,I met with Christian Ritter last night.,0
170,I met with Sarah Winkler last night.,0
171,I met with Gerhard Bachmann last night.,0
172,I met with Alexandra Schumacher last night.,0
173,I met with Johanna Reinhardt last night.,0
174,I met with Stephanie Jäger last night.,0
175,I met with Jens Schmid last night.,0
176,I met with Carl Albrecht last night.,0
177,I met with Helmut Barth last night.,0
178,I met with Karl-Heinz Albrecht last night.,0
179,I met with Martin Seidel last night.,0
180,I met with Vera Braun last night.,0
181,I met with Hanna Bach last night.,0
182,I met with Stephanie Kaufmann last night.,0
183,I met with Andrea Grimm last night.,0
184,I met with Gertrud Möller last night.,0
185,I met with Eugen Richter last night.,0
186,I met with Christa Schmitt last night.,0
187,I met with Christa Baumann last night.,0
188,I met with Gisela Schumacher last night.,0
189,I met with Hannelore Seidel last night.,0
190,I met with Eberhard Braun last night.,0
191,I met with Günther Peters last night.,0
192,I met with Edith König last night.,0
193,I met with Heidi Simon last night.,0
194,I met with Felix Schmid last night.,0
195,I met with Horst Winkler last night.,0
196,I met with Georg König last night.,0
197,I met with Georg Frank last night.,0
198,I met with August Petersen last night.,0
199,I met with Julius Mayer last night.,0
200,I met with Florentin Ngô last night.,0
201,I met with Adrian Tô last night.,0
202,I met with Adriano Phan last night.,0
203,I met with Pietro Hoàng last night.,0
204,I met with Carlton Wroblewski last night.,0
205,I met with Stefan Wagner last night.,0
206,I met with Xavier Ngo last night.,0
207,I met with Danny Linh last night.,0
208,I met with Domingo Đinh last night.,0
209,I met with Joseph Trinh last night.,0
210,I met with Sam Nguyên last night.,0
211,I met with Bernard Trần last night.,0
212,I met with Ngọc Trương last night.,0
213,I met with Liz Tôn last night.,0
214,I met with Barthélémy Chau last night.,0
215,I met with Vanessa Đào last night.,0
216,I met with Mikhail Tôn last night.,0
217,I met with Minh Thạch last night.,0
218,I met with Trang Từ last night.,0
219,I met with Bebe Trần last night.,0
220,I met with Kate Thomas last night.,0
221,I met with Zoe Tôn last night.,0
222,I met with Michel Hà last night.,0
223,I met with Larry Tuân last night.,0
224,I met with Nick Thomas last night.,0
225,I met with Việt Tiêu last night.,0
226,I met with Việt Khuong last night.,0
227,I met with Charlie Mã last night.,0
228,I met with Boris Nông last night.,0
229,I met with Ba Lieu last night.,0
230,I met with Men Nông last night.,0
231,I met with Michael Hoàng last night.,0
232,I met with Alfred Nguyễn last night.,0
233,I met with Jennifer Cù last night.,0
234,I met with Loan Huet last night.,0
235,I met with Thomas Quách last night.,0
236,I met with Boris Khúc last night.,0
237,I met with Jacques Dương last night.,0
238,I met with David Lam last night.,0
239,I met with John Khúc last night.,0
240,I met with Domenico Đinh last night.,0
241,I met with Joseph-Marie Đào last night.,0
242,I met with Fabio Walters last night.,0
243,I met with Stefan Dương last night.,0
244,I met with Robert Truong last night.,0
245,I met with Ngoc Schmidt last night.,0
246,I met with Minh Truong last night.,0
247,I met with Zoe Nông last night.,0
248,I met with Ivan Linh last night.,0
249,I met with Antoine Vu last night.,0
