,0,1
0,@shornawx_ @WoleOdeleye 10 year old you is hysterical.,0
1,@supanovagirl LMAOO you pussy. What those emojis mean?!,1
2,"Im so sick and tired of folks like you using your platform to bully those with differing opinions. Just because their opinions differ doesnt make them hysterical women. And calling @CoryBooker a woman, is disrespectful. Hes a proud Black Man, put respect on that!",0
3,@NewYorkFBI How many more women 'FBI 'sir have to report rape by 'Harvey Weinstein ' before you arrest him. 33 women are not enough for you,0
4,@themakeda Stfu u hating ass bitch go suck her big dick pussy ass hoe u lookin like a rat,1
5,@kathygriffin Which one of the two wins the prize for most hysterical woman?,1
6,"@realDonaldTrump This from the guy who bragged about grabbing you women by the PUSSY!!!STFU you Fat Bloated Lying Piece of SHIT!You shouldn't have been elected b/c of your speech as well as many more reasons, that your so-called CONSERVATIVE BIBKE BEATERS",0
7,@reshmakutty1998 I need you pussy,1
8,@eyehatezod @PopeRichard I refuse to believe that you don't break into a pogo or skank whenever you hear One Step Beyond.,0
9,@DanReynolds STFU BITCH! AND YOU GO MAKE SOME SATANIC MUSIC U ILLUMINATI WHORE!! Fuck you FUCK IMAGINE DRAGONS You cock sucking maggots,1
10,Me:Kpop twitter: shut the fuck up you old raggedy piece of shit. fucking bitch ass smelly ass stinky ass hoe ass ugly! You dont even know what (insert group name) has done for its fans and the world and youve done nothing but eat shit your whole life suck a dick and die hoe,0
11,"@DIAMONDPWUSSY like when they say ""real men dont rape women""/""if you hit a girl you're not a man you're a bitch""",0
12,One of the biggest reason I never wanted to come out to my friends was bc I was afraid theyll think I have crush on them when Im just being a decent human being so I call them stupid bitch and a fucking hoe everytime I see them,1
13,Yeah I can't wait till y'all all shut the fuck up about it. Trumps a moron Hillary is a cunt Berney is a fuckin douche they are politicians no matter what one sides gonna bitch and think they hold the moral high ground but guess what we are all the same and most don't give a fuck,1
14,@WalterC196 @nowthisnews America was founded by immigrants fucking cunt ass bitch,0
15,@NiccoMontano @pokipokiabq Relinquish the belt you pussy,1
16,There's nothing worse when someone has the flaming audacity to say 'it wasn't that funny' to something you think is hysterical,0
17,I wish fat boy Trump would just shut the fuck up and go away and take your stupid wife and pussy ass kids with you Amerikkka is so fucken tired of your STUPID shit #GettheFuckON,0
18,@Kindjiez @TheBlackSwan54 @NICKIMINAJ Exactly. Those women embrace thier sexuality and feminism. That doesn't mean that it leads to rape.,0
19,@CoryBooker @SenKamalaHarris Should our country be run by a couple hysterical women.,1
20,"@breecarlson_ Long rape scene? Even though there was no sex scene in the movie, and the woman agreed to a rape fantasy, then stopped it? LOL",0
21,"@winkfam @cookies1961 @FLOTUS Says the supporter of a woman..@HillaryClinton ....that literally protected & threw every woman under the bus that accused her President husband of rape, affairs, etc. Pleeeeeease, STFU, or educate yourself.",1
22,"@SaamaanthaaJune @__chelsearenee_ @AverisDope samantha why dont you just shut the fuck up and mind your own damn business. this whole situation HAS NOTHING to do with you, so why you out here running your fat mouth? if she wanted to sell her pussy she wou",1
23,@dumblefttweets @bryyelyy @tariqnasheed Stfu you pussy. Clearly the white guy was the fucking aggressor and laid hands on him first. Typical response from your kind,1
24,"@Ron4VA If you support someone who bragged about grabbing women by the pussy and being able to shoot someone in the middle of 5th Avenue without losing a vote, you can kindly STFU about uplifting discourse.",0
25,@deplorablem1ke Goddamn fucking bitch shut your fucking flap cunt! Downplaying as if you got game & political power killing all US presidents w/ my civil rights violators bribed in-part 1st family children to run w/criminals & or both monopolize conspirat,1
26,"4. In addition, it plays on the ""hysterical woman"" trope, which I assume was designed to use and tear down later in the film. Nonetheless, it was annoying at the time I tried watching it.",0
27,'H' COVERED UP RAPES SEXUAL ATTACKS BILLY HAD SEX ALL OVER THE CLINTON WHORE HOUSE A BABY LIED IMPEACHED THAT HOW HE LOST HIS ATTY LICENSES,0
28,U MOTHERFUCKING BITCH DIDNT TELL ME I COULD MOVE MY KING CHIPS WHEN I HAD F O UR AND YOU HAD NONE. CHEATING ASS HOE.,1
29,@AnnCoulter @DonaldJTrumpJr Check out @JasonOverstreets Tweet: !!!! Hysterical Woman-1Scumbag Swamp Creature-ZIPPY,1
30,@Pontifex go rape a dog you fucking cunt,0
31,@DebraMessing how about you STFU with your pro abortion and your racist BS. Ive never seen a pathetic group of people like you democrats so worried about a womans so called right to kill new born infants! You people disgust me! #lookinthemirror,1
32,Lovely that apparently Twitter has a problem with the word CUNT or they just didn’t appreciate real Islamic information. Murder and Rape,0
33,@DebraMessing Why don't u STFU. You are a hysterical idiot!! You are exactly what's wrong with this country. Go back in your elite hole!!,1
34,"Stfu, theres a million people without dads, youre rich bitch, get over it",1
35,@NastazjaSomers @RukayaC_ @The_Globe There is an #Emilia fridge magnet on sale. Of course it can stick to any metal thing. WE DO NOT HAVE TO STAY IN THE KITCHEN!!!!!,0
36,The media and the D party tried to destroy America with Obama. They r hysterical cuz they afraid you will find out just how terrible they r,0
37,my reaction when literally all the girls in my class telling me that im so tall. bitch u better stfu i dont need ur validation hoe,1
